Experimental parameters,,,,,Resting (time (s)),,,,Digital (time (s)),,,,,,,,Physical (time (s)),,,,,,,,Resting start,,,resting end,,,dig fam start,,,dig fam end,,,dig t1 start,,,dig t1 end,,,phys fam start,,,phys fam end,,,Phys t1 start,,,phys t1 end,,
Participant Number,Physical Ruleset,Digital Ruleset,Order,Resting File,Start,End,Duration ,Digital familiarisation File,Familiarisation Start,End,Duration,Digital Build File File ,Build Start,End,Duration,Physical familiarisation File,Familiarisation Start,End,Duration,Physical Build File,Build start,End,Duration ,,Total time,Whole minutes,Seconds,Total time,Whole minutes,Seconds,Total time,Whole minutes,Seconds,Total time,Whole minutes,Seconds,Total time,Whole minutes,Seconds,Total time,Whole minutes,Seconds,Total time,Whole minutes,Seconds,Total time,Whole minutes,Seconds,Total time,Whole minutes,Seconds,Total time,Whole minutes,Seconds
1,1,3,Physical,Participant_1_RawData.txt,0,120,120,Participant_1_RawData.txt,990,1110,120,Participant_1_RawData.txt,1125,1635,510,Participant_1_RawData.txt,130,250,120,Participant_1_RawData.txt,270,659,389,,0,0,0,2,2,0,16.3,16,0.3,18.3,18,0.3,18.45,18,0.45,27.15,27,0.15,2.1,2,0.1,4.1,4,0.1,4.3,4,0.3,10.59,10,0.59
2,2,1,Digital,Participant_2_RawData.txt,346,466,120,Participant_2_RawData.txt,530,640,110,Participant_2_RawData.txt,670,1270,600,Participant_2_RawData.txt,1423,1536,113,Participant_2_RawData.txt,1545,1917,372,,5.46,5,0.46,7.46,7,0.46,8.5,8,0.5,10.4,10,0.4,11.1,11,0.1,21.1,21,0.1,23.43,23,0.43,25.36,25,0.36,25.45,25,0.45,31.57,31,0.57
3,1,2,Physical,Participant_3_RawData1.txt,125,245,120,Participant_3_RawData2.txt,325,445,120,Participant_3_RawData2.txt,460,835,375,Participant_3_RawData1.txt,265,385,120,Participant_3_RawData2.txt,20,233,213,,2.05,2,0.05,4.05,4,0.05,5.25,5,0.25,7.25,7,0.25,7.4,7,0.4,13.55,13,0.55,4.25,4,0.25,6.25,6,0.25,0.2,0,0.2,3.53,3,0.53
4,1,2,Digital,Participant_4_RawData.txt,330,450,120,Participant_4_RawData.txt,460,580,120,Participant_4_RawData.txt,610,1070,460,Participant_4_RawData.txt,1190,1315,125,Participant_4_RawData.txt,1330,1525,195,,5.3,5,0.3,7.3,7,0.3,7.4,7,0.4,9.4,9,0.4,10.1,10,0.1,17.5,17,0.5,19.5,19,0.5,21.55,21,0.55,22.1,22,0.1,25.25,25,0.25
5,2,1,Physical,Participant_5_RawData1.txt,62,182,120,Participant_5_RawData1.txt,924,1082,158,Participant_5_RawData2.txt,13,523,510,Participant_5_RawData1.txt,212,332,120,Participant_5_RawData1.txt,355,783,428,,1.02,1,0.02,3.02,3,0.02,15.24,15,0.24,18.02,18,0.02,0.13,0,0.13,8.43,8,0.43,3.32,3,0.32,5.32,5,0.32,5.55,5,0.55,13.03,13,0.03
6,1,3,Digital,Participant_6_RawData1.txt,35,155,120,Participant_6_RawData1.txt,166,286,120,Participant_6_RawData1.txt,310,678,368,Participant_6_RawData2.txt,30,150,120,Participant_6_RawData2.txt,180,305,125,,0.35,0,0.35,2.35,2,0.35,2.46,2,0.46,4.46,4,0.46,5.1,5,0.1,11.18,11,0.18,0.3,0,0.3,2.3,2,0.3,3,3,0,5.05,5,0.05
7,2,3,Physical,Participant_7_RawData1.txt,30,150,120,Participant_7_RawData2.txt,20,160,140,Participant_7_RawData2.txt,177,454,277,Participant_7_RawData1.txt,165,285,120,Participant_7_RawData1.txt,325,491,166,,0.3,0,0.3,2.3,2,0.3,0.2,0,0.2,2.4,2,0.4,2.57,2,0.57,7.34,7,0.34,2.45,2,0.45,4.45,4,0.45,5.25,5,0.25,8.11,8,0.11
8,2,3,Digital,Participant_8_RawData2.txt,173,293,120,Participant_8_RawData1.txt,10,130,120,Participant_8_RawData1.txt,165,676,511,Participant_8_RawData2.txt,315,435,120,Participant_8_RawData2.txt,450,720,270,,2.53,2,0.53,4.53,4,0.53,0.1,0,0.1,2.1,2,0.1,2.45,2,0.45,11.16,11,0.16,5.15,5,0.15,7.15,7,0.15,7.3,7,0.3,12,12,0
9,3,1,Physical,Participant_9_RawData1.txt,30,150,120,Participant_9_RawData2.txt,13,133,120,Participant_9_RawData2.txt,165,765,600,Participant_9_RawData1.txt,170,291,121,Participant_9_RawData1.txt,310,490,180,,0.3,0,0.3,2.3,2,0.3,0.13,0,0.13,2.13,2,0.13,2.45,2,0.45,12.45,12,0.45,2.5,2,0.5,4.51,4,0.51,5.1,5,0.1,8.1,8,0.1
10,3,1,Digital,Participant_10_RawData1.txt,53,173,120,Participant_10_RawData1.txt,200,320,120,Participant_10_RawData1.txt,350,790,440,Participant_10_RawData2.txt,15,135,120,Participant_10_RawData2.txt,150,330,180,,0.53,0,0.53,2.53,2,0.53,3.2,3,0.2,5.2,5,0.2,5.5,5,0.5,13.1,13,0.1,0.15,0,0.15,2.15,2,0.15,2.3,2,0.3,5.3,5,0.3
11,3,2,Physical,Participant_11_RawData1.txt,166,286,120,Participant_11_RawData2.txt,15,135,120,Participant_11_RawData2.txt,150,623,473,Participant_11_RawData1.txt,300,420,120,Participant_11_RawData1.txt,440,673,233,,2.46,2,0.46,4.46,4,0.46,0.15,0,0.15,2.15,2,0.15,2.3,2,0.3,10.23,10,0.23,5,5,0,7,7,0,7.2,7,0.2,11.13,11,0.13
12,3,2,Digital,Participant_12_RawData1.txt,223,343,120,Participant_12_RawData1.txt,370,490,120,Participant_12_RawData1.txt,525,950,425,Participant_12_RawData2.txt,30,150,120,Participant_12_RawData2.txt,165,350,185,,3.43,3,0.43,5.43,5,0.43,6.1,6,0.1,8.1,8,0.1,8.45,8,0.45,15.5,15,0.5,0.3,0,0.3,2.3,2,0.3,2.45,2,0.45,5.5,5,0.5
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,